Intervalle:600 sec;;;;;;;;;;;
Tension:229.999 V;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Date/Heure:2018/25/04;10:00.0;20:00.0;;;;;;;;;
;;;;;;;;;;;
Date;Heure;'UL1_[V]';'UL2_[V]';'UL3_[V]';'IL1_[A]';'IL2_[A]';'IL3_[A]';'I_Neutral_[A]';;;
2018/26/04;10:00.0;236.816;236.578;237.217;3.263;3.074;3.095;0.682;;;
2018/26/04;20:00.0;237.345;236.383;237.558;2.764;2.325;2.569;0.848;;;
2018/26/04;30:00.0;238.23;236.63;238.024;3.829;3.454;3.501;0.757;;;
2018/26/04;40:00.0;238.058;236.881;238.035;3.132;2.728;2.612;0.956;;;
2018/26/04;50:00.0;238.556;237.027;238.219;2.702;2.418;2.298;0.883;;;
2018/26/04;00:00.0;238.137;236.481;237.866;2.82;2.534;2.393;0.899;;;
2018/26/04;10:00.0;237.29;235.796;237.017;2.473;2.269;2.226;0.981;;;
2018/26/04;20:00.0;236.818;235.833;236.833;2.019;2.035;2.02;0.863;;;
2018/26/04;30:00.0;236.814;235.76;237.128;1.909;2.09;1.936;0.899;;;
2018/26/04;40:00.0;237.048;235.426;236.739;1.717;1.913;1.758;0.89;;;
2018/26/04;50:00.0;236.623;234.759;236.417;1.54;1.66;1.48;0.824;;;
2018/26/04;00:00.0;236.755;235.567;236.941;1.656;1.484;1.361;0.799;;;
2018/26/04;10:00.0;235.837;234.321;235.716;1.521;1.264;1.225;0.706;;;
2018/26/04;20:00.0;235.181;233.669;234.881;1.429;1.283;1.131;0.787;;;
2018/26/04;30:00.0;236.365;235.035;236.393;1.351;1.213;1.006;0.822;;;
2018/26/04;40:00.0;237.485;236.234;237.411;1.364;1.177;0.965;0.907;;;
2018/26/04;50:00.0;237.561;236.236;236.959;1.331;1.164;0.942;0.935;;;
2018/26/04;00:00.0;237.485;236.012;236.87;1.263;1.029;0.882;0.808;;;
2018/26/04;10:00.0;235.556;234.037;235.34;1.111;1.026;0.826;0.847;;;
2018/26/04;20:00.0;234.967;233.616;234.653;0.974;1.021;0.786;0.812;;;
2018/26/04;30:00.0;234.934;233.68;234.616;0.956;0.994;0.747;0.745;;;
2018/26/04;40:00.0;235.371;233.752;234.7;0.962;0.985;0.74;0.746;;;
2018/26/04;50:00.0;235.625;233.516;234.941;0.999;1.019;0.717;0.763;;;
2018/26/04;00:00.0;235.818;233.663;234.81;1.055;0.995;0.706;0.698;;;
2018/26/04;10:00.0;235.3;233.604;234.465;1.037;0.963;0.687;0.637;;;
2018/26/04;20:00.0;236.709;234.984;236.404;1.033;0.967;0.681;0.609;;;
2018/26/04;30:00.0;237.608;236.427;237.65;1.007;0.951;0.88;0.788;;;
2018/26/04;40:00.0;237.502;236.66;237.425;0.906;0.93;0.792;0.807;;;
2018/26/04;50:00.0;238.071;236.582;237.569;0.907;0.94;0.781;0.742;;;
2018/26/04;00:00.0;237.776;235.841;237.228;0.944;0.879;0.801;0.829;;;
2018/26/04;10:00.0;237.736;235.919;237.716;0.893;0.831;0.908;0.718;;;
2018/26/04;20:00.0;237.83;236.518;237.822;0.873;0.787;0.905;0.729;;;
2018/26/04;30:00.0;237.02;235.705;236.67;0.889;0.827;0.906;0.781;;;
2018/26/04;40:00.0;235.281;234.378;235.401;0.898;0.831;0.906;0.722;;;
2018/26/04;50:00.0;236.046;234.462;235.654;0.896;0.781;0.899;0.859;;;
2018/26/04;00:00.0;236.484;235.013;236.292;0.9;0.775;0.648;0.629;;;
2018/26/04;10:00.0;235.912;234.514;235.805;0.899;0.776;0.563;0.536;;;
2018/26/04;20:00.0;235.767;234.198;235.461;0.898;0.775;0.561;0.534;;;
2018/26/04;30:00.0;236.068;233.718;235.796;0.901;0.854;0.559;0.532;;;
2018/26/04;40:00.0;236.477;234.098;236.033;0.9;0.799;0.56;0.497;;;
2018/26/04;50:00.0;236.371;233.989;236.13;0.899;0.772;0.561;0.535;;;
2018/26/04;00:00.0;237.107;234.622;236.277;0.945;0.775;0.561;0.637;;;
2018/26/04;10:00.0;236.48;234.71;236.147;0.89;0.78;0.562;0.641;;;
2018/26/04;20:00.0;236.981;235.185;236.604;0.875;0.841;0.561;0.597;;;
2018/26/04;30:00.0;237.422;235.762;236.731;0.871;0.824;0.562;0.51;;;
2018/26/04;40:00.0;237.939;236.268;237.167;0.868;0.785;0.565;0.58;;;
2018/26/04;50:00.0;238.104;236.162;237.275;0.907;0.778;0.564;0.531;;;
2018/27/04;00:00.0;235.428;233.781;234.391;0.902;0.774;0.572;0.536;;;
2018/27/04;10:00.0;235.369;233.58;234.232;0.916;0.812;0.562;0.582;;;
